,order_item_id,order_id,calendar_id,delivery_id,customer_id,promotion_id,order_number,status,payment_method,product_id,amount_without_vat,cost_without_vat,discount_without_vat,gross_profit_without_vat
25,26,5,526,90,89,,ORD_5,Out for delivery,Mobile payment,3,35,18,0.0,17.0
26,27,6,56,43,28,,ORD_6,In transit,Credit card,66,68,2,0.0,66.0
27,28,6,56,43,28,,ORD_6,In transit,Credit card,99,36,23,0.0,13.0
28,29,6,56,43,28,,ORD_6,In transit,Credit card,38,92,11,0.0,81.0
29,30,7,162,65,98,,ORD_7,Delivered,Cash,48,90,21,0.0,69.0
30,31,7,162,65,98,,ORD_7,Delivered,Cash,60,90,29,0.0,61.0
31,32,7,162,65,98,,ORD_7,Delivered,Cash,18,44,6,0.0,38.0
32,33,7,162,65,98,,ORD_7,Delivered,Cash,100,39,14,0.0,25.0
33,34,7,162,65,98,,ORD_7,Delivered,Cash,31,29,8,0.0,21.0
34,35,7,162,65,98,,ORD_7,Delivered,Cash,34,89,10,0.0,79.0
35,36,8,522,46,62,,ORD_8,Info received,Mobile payment,81,22,7,0.0,15.0
36,37,8,522,46,62,,ORD_8,Info received,Mobile payment,67,58,9,0.0,49.0
37,38,8,522,46,62,,ORD_8,Info received,Mobile payment,93,80,8,0.0,72.0
38,39,8,522,46,62,,ORD_8,Info received,Mobile payment,54,80,30,0.0,50.0
39,40,8,522,46,62,,ORD_8,Info received,Mobile payment,54,80,30,0.0,50.0
40,41,8,522,46,62,,ORD_8,Info received,Mobile payment,32,64,26,0.0,38.0
41,42,8,522,46,62,,ORD_8,Info received,Mobile payment,60,90,29,0.0,61.0
42,43,8,522,46,62,,ORD_8,Info received,Mobile payment,93,80,8,0.0,72.0
43,44,8,522,46,62,,ORD_8,Info received,Mobile payment,5,93,25,0.0,68.0
44,45,8,522,46,62,,ORD_8,Info received,Mobile payment,84,63,4,0.0,59.0
45,46,9,594,12,64,,ORD_9,In transit,Credit card,59,21,13,0.0,8.0
46,47,9,594,12,64,,ORD_9,In transit,Credit card,75,34,6,0.0,28.0
47,48,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,88,87,16,0.0,71.0
48,49,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,31,29,8,0.0,21.0
49,50,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,19,46,27,0.0,19.0
50,51,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,92,30,18,0.0,12.0
51,52,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,25,75,10,0.0,65.0
52,53,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,87,79,8,0.0,71.0
53,54,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,4,42,20,0.0,22.0
54,55,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,80,24,21,0.0,3.0
55,56,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,95,73,1,0.0,72.0
56,57,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,23,78,24,0.0,54.0
57,58,10,645,62,14,,ORD_10,Out for delivery,Electronic bank transfer,55,47,15,0.0,32.0
58,59,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,54,80,30,0.0,50.0
59,60,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,61,63,4,0.0,59.0
60,61,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,81,22,7,0.0,15.0
61,62,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,65,74,20,0.0,54.0
62,63,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,98,86,20,0.0,66.0
63,64,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,29,50,30,0.0,20.0
64,65,11,164,47,71,,ORD_11,Inbound,Electronic bank transfer,53,40,27,0.0,13.0
65,66,12,237,86,16,,ORD_12,Inbound,Debit card,75,34,6,0.0,28.0
66,67,12,237,86,16,,ORD_12,Inbound,Debit card,8,58,2,0.0,56.0
67,68,12,237,86,16,,ORD_12,Inbound,Debit card,53,40,27,0.0,13.0
68,69,12,237,86,16,,ORD_12,Inbound,Debit card,60,90,29,0.0,61.0
69,70,12,237,86,16,,ORD_12,Inbound,Debit card,78,91,13,0.0,78.0
70,71,13,339,10,72,7.0,ORD_13,In transit,Mobile payment,81,22,7,5.5,9.5
71,72,13,339,10,72,7.0,ORD_13,In transit,Mobile payment,54,80,30,20.0,30.0
72,73,13,339,10,72,7.0,ORD_13,In transit,Mobile payment,26,38,10,9.5,18.5
73,74,14,273,41,63,,ORD_14,In transit,Debit card,1,22,27,0.0,-5.0
74,75,14,273,41,63,,ORD_14,In transit,Debit card,63,94,20,0.0,74.0
75,76,14,273,41,63,,ORD_14,In transit,Debit card,78,91,13,0.0,78.0
76,77,15,46,78,63,,ORD_15,Info received,Debit card,39,72,15,0.0,57.0
77,78,15,46,78,63,,ORD_15,Info received,Debit card,32,64,26,0.0,38.0
78,79,15,46,78,63,,ORD_15,Info received,Debit card,78,91,13,0.0,78.0
79,80,15,46,78,63,,ORD_15,Info received,Debit card,11,54,23,0.0,31.0
80,81,15,46,78,63,,ORD_15,Info received,Debit card,28,32,28,0.0,4.0
81,82,15,46,78,63,,ORD_15,Info received,Debit card,23,78,24,0.0,54.0
82,83,15,46,78,63,,ORD_15,Info received,Debit card,70,35,3,0.0,32.0
83,84,15,46,78,63,,ORD_15,Info received,Debit card,44,91,27,0.0,64.0
84,85,16,659,99,88,7.0,ORD_16,Inbound,Mobile payment,40,60,3,15.0,42.0
85,86,16,659,99,88,7.0,ORD_16,Inbound,Mobile payment,24,66,18,16.5,31.5
86,87,16,659,99,88,7.0,ORD_16,Inbound,Mobile payment,95,73,1,18.25,53.75
87,88,16,659,99,88,7.0,ORD_16,Inbound,Mobile payment,5,93,25,23.25,44.75
88,89,17,185,74,72,,ORD_17,Delivered,Debit card,98,86,20,0.0,66.0
89,90,17,185,74,72,,ORD_17,Delivered,Debit card,48,90,21,0.0,69.0
90,91,17,185,74,72,,ORD_17,Delivered,Debit card,46,86,12,0.0,74.0
91,92,17,185,74,72,,ORD_17,Delivered,Debit card,5,93,25,0.0,68.0
92,93,17,185,74,72,,ORD_17,Delivered,Debit card,9,95,25,0.0,70.0
93,94,18,218,42,94,,ORD_18,Inbound,Credit card,67,58,9,0.0,49.0
94,95,18,218,42,94,,ORD_18,Inbound,Credit card,48,90,21,0.0,69.0
95,96,18,218,42,94,,ORD_18,Inbound,Credit card,29,50,30,0.0,20.0
96,97,18,218,42,94,,ORD_18,Inbound,Credit card,16,93,11,0.0,82.0
97,98,18,218,42,94,,ORD_18,Inbound,Credit card,82,93,23,0.0,70.0
98,99,18,218,42,94,,ORD_18,Inbound,Credit card,55,47,15,0.0,32.0
99,100,19,18,56,44,,ORD_19,Out for delivery,Debit card,5,93,25,0.0,68.0
100,101,19,18,56,44,,ORD_19,Out for delivery,Debit card,64,82,24,0.0,58.0
101,102,19,18,56,44,,ORD_19,Out for delivery,Debit card,63,94,20,0.0,74.0
102,103,19,18,56,44,,ORD_19,Out for delivery,Debit card,59,21,13,0.0,8.0
103,104,19,18,56,44,,ORD_19,Out for delivery,Debit card,83,73,6,0.0,67.0
104,105,20,175,35,62,,ORD_20,Shipment departed from the facility,Mobile payment,64,82,24,0.0,58.0
105,106,20,175,35,62,,ORD_20,Shipment departed from the facility,Mobile payment,76,83,12,0.0,71.0
106,107,20,175,35,62,,ORD_20,Shipment departed from the facility,Mobile payment,46,86,12,0.0,74.0
107,108,20,175,35,62,,ORD_20,Shipment departed from the facility,Mobile payment,13,33,19,0.0,14.0
108,109,20,175,35,62,,ORD_20,Shipment departed from the facility,Mobile payment,31,29,8,0.0,21.0
109,110,20,175,35,62,,ORD_20,Shipment departed from the facility,Mobile payment,61,63,4,0.0,59.0
110,111,21,630,72,40,,ORD_21,In transit,Cash,1,22,27,0.0,-5.0
111,112,21,630,72,40,,ORD_21,In transit,Cash,52,79,19,0.0,60.0
112,113,21,630,72,40,,ORD_21,In transit,Cash,87,79,8,0.0,71.0
113,114,21,630,72,40,,ORD_21,In transit,Cash,75,34,6,0.0,28.0
114,115,21,630,72,40,,ORD_21,In transit,Cash,20,96,13,0.0,83.0
115,116,21,630,72,40,,ORD_21,In transit,Cash,61,63,4,0.0,59.0
116,117,21,630,72,40,,ORD_21,In transit,Cash,18,44,6,0.0,38.0
117,118,21,630,72,40,,ORD_21,In transit,Cash,11,54,23,0.0,31.0
118,119,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,50,47,4,0.0,43.0
119,120,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,6,73,1,0.0,72.0
120,121,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,75,34,6,0.0,28.0
121,122,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,88,87,16,0.0,71.0
122,123,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,34,89,10,0.0,79.0
123,124,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,46,86,12,0.0,74.0
124,125,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,39,72,15,0.0,57.0
125,126,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,73,39,29,0.0,10.0
126,127,22,658,72,17,,ORD_22,In transit,Electronic bank transfer,61,63,4,0.0,59.0
127,128,23,638,98,20,,ORD_23,In transit,Debit card,36,36,13,0.0,23.0
128,129,23,638,98,20,,ORD_23,In transit,Debit card,18,44,6,0.0,38.0
129,130,23,638,98,20,,ORD_23,In transit,Debit card,17,75,5,0.0,70.0
130,131,23,638,98,20,,ORD_23,In transit,Debit card,72,46,19,0.0,27.0
131,132,24,709,72,11,,ORD_24,In transit,Mobile payment,65,74,20,0.0,54.0
132,133,24,709,72,11,,ORD_24,In transit,Mobile payment,3,35,18,0.0,17.0
133,134,24,709,72,11,,ORD_24,In transit,Mobile payment,41,68,2,0.0,66.0
134,135,24,709,72,11,,ORD_24,In transit,Mobile payment,40,60,3,0.0,57.0
135,136,24,709,72,11,,ORD_24,In transit,Mobile payment,89,40,15,0.0,25.0
136,137,25,694,69,62,,ORD_25,Inbound,Credit card,42,58,29,0.0,29.0
137,138,25,694,69,62,,ORD_25,Inbound,Credit card,76,83,12,0.0,71.0
138,139,25,694,69,62,,ORD_25,Inbound,Credit card,10,96,23,0.0,73.0
139,140,25,694,69,62,,ORD_25,Inbound,Credit card,79,33,8,0.0,25.0
140,141,25,694,69,62,,ORD_25,Inbound,Credit card,90,73,23,0.0,50.0
141,142,25,694,69,62,,ORD_25,Inbound,Credit card,20,96,13,0.0,83.0
142,143,25,694,69,62,,ORD_25,Inbound,Credit card,14,96,4,0.0,92.0
143,144,26,33,34,63,,ORD_26,Info received,Electronic bank transfer,52,79,19,0.0,60.0
144,145,26,33,34,63,,ORD_26,Info received,Electronic bank transfer,54,80,30,0.0,50.0
145,146,26,33,34,63,,ORD_26,Info received,Electronic bank transfer,23,78,24,0.0,54.0
146,147,26,33,34,63,,ORD_26,Info received,Electronic bank transfer,15,98,30,0.0,68.0
147,148,27,471,40,23,,ORD_27,Out for delivery,Mobile payment,44,91,27,0.0,64.0
148,149,27,471,40,23,,ORD_27,Out for delivery,Mobile payment,3,35,18,0.0,17.0
149,150,27,471,40,23,,ORD_27,Out for delivery,Mobile payment,30,52,18,0.0,34.0
150,151,27,471,40,23,,ORD_27,Out for delivery,Mobile payment,4,42,20,0.0,22.0
151,152,27,471,40,23,,ORD_27,Out for delivery,Mobile payment,74,42,5,0.0,37.0
152,153,27,471,40,23,,ORD_27,Out for delivery,Mobile payment,3,35,18,0.0,17.0
153,154,28,68,45,20,,ORD_28,Out for delivery,Cash,27,48,15,0.0,33.0
154,155,28,68,45,20,,ORD_28,Out for delivery,Cash,6,73,1,0.0,72.0
155,156,28,68,45,20,,ORD_28,Out for delivery,Cash,94,48,18,0.0,30.0
156,157,28,68,45,20,,ORD_28,Out for delivery,Cash,43,43,14,0.0,29.0
157,158,29,661,99,52,,ORD_29,Inbound,Electronic bank transfer,9,95,25,0.0,70.0
158,159,29,661,99,52,,ORD_29,Inbound,Electronic bank transfer,36,36,13,0.0,23.0
159,160,29,661,99,52,,ORD_29,Inbound,Electronic bank transfer,70,35,3,0.0,32.0
160,161,29,661,99,52,,ORD_29,Inbound,Electronic bank transfer,79,33,8,0.0,25.0
161,162,30,524,92,71,9.0,ORD_30,Inbound,Credit card,66,68,2,13.600000000000001,52.4
162,163,30,524,92,71,9.0,ORD_30,Inbound,Credit card,73,39,29,7.800000000000001,2.1999999999999993
163,164,30,524,92,71,9.0,ORD_30,Inbound,Credit card,29,50,30,10.0,10.0
164,165,31,565,94,30,,ORD_31,In transit,Cash,78,91,13,0.0,78.0
165,166,31,565,94,30,,ORD_31,In transit,Cash,82,93,23,0.0,70.0
166,167,31,565,94,30,,ORD_31,In transit,Cash,31,29,8,0.0,21.0
167,168,31,565,94,30,,ORD_31,In transit,Cash,8,58,2,0.0,56.0
168,169,31,565,94,30,,ORD_31,In transit,Cash,61,63,4,0.0,59.0
169,170,31,565,94,30,,ORD_31,In transit,Cash,46,86,12,0.0,74.0
170,171,31,565,94,30,,ORD_31,In transit,Cash,77,20,18,0.0,2.0
171,172,31,565,94,30,,ORD_31,In transit,Cash,1,22,27,0.0,-5.0
172,173,32,359,88,44,,ORD_32,In transit,Debit card,8,58,2,0.0,56.0
173,174,32,359,88,44,,ORD_32,In transit,Debit card,74,42,5,0.0,37.0
174,175,32,359,88,44,,ORD_32,In transit,Debit card,55,47,15,0.0,32.0
175,176,33,241,19,20,,ORD_33,Inbound,Electronic bank transfer,9,95,25,0.0,70.0
176,177,33,241,19,20,,ORD_33,Inbound,Electronic bank transfer,97,45,10,0.0,35.0
177,178,33,241,19,20,,ORD_33,Inbound,Electronic bank transfer,26,38,10,0.0,28.0
178,179,33,241,19,20,,ORD_33,Inbound,Electronic bank transfer,58,79,6,0.0,73.0
179,180,33,241,19,20,,ORD_33,Inbound,Electronic bank transfer,95,73,1,0.0,72.0
180,181,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,54,80,30,0.0,50.0
181,182,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,91,87,14,0.0,73.0
182,183,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,64,82,24,0.0,58.0
183,184,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,19,46,27,0.0,19.0
184,185,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,50,47,4,0.0,43.0
185,186,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,95,73,1,0.0,72.0
186,187,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,62,37,11,0.0,26.0
187,188,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,36,36,13,0.0,23.0
188,189,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,41,68,2,0.0,66.0
189,190,34,110,13,44,,ORD_34,Out for delivery,Electronic bank transfer,38,92,11,0.0,81.0
190,191,35,497,88,16,,ORD_35,In transit,Credit card,8,58,2,0.0,56.0
191,192,35,497,88,16,,ORD_35,In transit,Credit card,52,79,19,0.0,60.0
192,193,35,497,88,16,,ORD_35,In transit,Credit card,59,21,13,0.0,8.0
193,194,36,34,31,44,,ORD_36,Out for delivery,Cash,98,86,20,0.0,66.0
194,195,36,34,31,44,,ORD_36,Out for delivery,Cash,99,36,23,0.0,13.0
195,196,36,34,31,44,,ORD_36,Out for delivery,Cash,38,92,11,0.0,81.0
196,197,36,34,31,44,,ORD_36,Out for delivery,Cash,3,35,18,0.0,17.0
197,198,36,34,31,44,,ORD_36,Out for delivery,Cash,33,62,30,0.0,32.0
198,199,36,34,31,44,,ORD_36,Out for delivery,Cash,1,22,27,0.0,-5.0
199,200,36,34,31,44,,ORD_36,Out for delivery,Cash,48,90,21,0.0,69.0
200,201,36,34,31,44,,ORD_36,Out for delivery,Cash,36,36,13,0.0,23.0
201,202,36,34,31,44,,ORD_36,Out for delivery,Cash,86,100,7,0.0,93.0
202,203,37,668,69,51,9.0,ORD_37,Inbound,Credit card,1,22,27,4.4,-9.399999999999999
203,204,37,668,69,51,9.0,ORD_37,Inbound,Credit card,91,87,14,17.400000000000002,55.599999999999994
204,205,37,668,69,51,9.0,ORD_37,Inbound,Credit card,7,81,2,16.2,62.8
205,206,37,668,69,51,9.0,ORD_37,Inbound,Credit card,70,35,3,7.0,25.0
206,207,37,668,69,51,9.0,ORD_37,Inbound,Credit card,89,40,15,8.0,17.0
207,208,38,299,28,46,,ORD_38,Out for delivery,Debit card,18,44,6,0.0,38.0
208,209,38,299,28,46,,ORD_38,Out for delivery,Debit card,22,21,28,0.0,-7.0
209,210,38,299,28,46,,ORD_38,Out for delivery,Debit card,64,82,24,0.0,58.0
210,211,38,299,28,46,,ORD_38,Out for delivery,Debit card,22,21,28,0.0,-7.0
211,212,38,299,28,46,,ORD_38,Out for delivery,Debit card,1,22,27,0.0,-5.0
212,213,38,299,28,46,,ORD_38,Out for delivery,Debit card,62,37,11,0.0,26.0
213,214,38,299,28,46,,ORD_38,Out for delivery,Debit card,57,98,19,0.0,79.0
214,215,38,299,28,46,,ORD_38,Out for delivery,Debit card,85,27,21,0.0,6.0
215,216,38,299,28,46,,ORD_38,Out for delivery,Debit card,46,86,12,0.0,74.0
216,217,38,299,28,46,,ORD_38,Out for delivery,Debit card,18,44,6,0.0,38.0
217,218,39,532,10,9,,ORD_39,In transit,Mobile payment,36,36,13,0.0,23.0
218,219,39,532,10,9,,ORD_39,In transit,Mobile payment,80,24,21,0.0,3.0
219,220,39,532,10,9,,ORD_39,In transit,Mobile payment,43,43,14,0.0,29.0
220,221,39,532,10,9,,ORD_39,In transit,Mobile payment,91,87,14,0.0,73.0
221,222,39,532,10,9,,ORD_39,In transit,Mobile payment,1,22,27,0.0,-5.0
222,223,40,180,32,10,,ORD_40,Inbound,Cash,42,58,29,0.0,29.0
223,224,40,180,32,10,,ORD_40,Inbound,Cash,2,76,27,0.0,49.0
224,225,40,180,32,10,,ORD_40,Inbound,Cash,52,79,19,0.0,60.0
225,226,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,77,20,18,0.0,2.0
226,227,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,73,39,29,0.0,10.0
227,228,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,13,33,19,0.0,14.0
228,229,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,49,38,15,0.0,23.0
229,230,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,20,96,13,0.0,83.0
230,231,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,60,90,29,0.0,61.0
231,232,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,21,98,14,0.0,84.0
232,233,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,31,29,8,0.0,21.0
233,234,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,43,43,14,0.0,29.0
234,235,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,28,32,28,0.0,4.0
235,236,41,362,14,23,,ORD_41,Shipment departed from the facility,Debit card,15,98,30,0.0,68.0
236,237,42,601,19,38,,ORD_42,Inbound,Mobile payment,78,91,13,0.0,78.0
237,238,42,601,19,38,,ORD_42,Inbound,Mobile payment,39,72,15,0.0,57.0
238,239,42,601,19,38,,ORD_42,Inbound,Mobile payment,23,78,24,0.0,54.0
239,240,42,601,19,38,,ORD_42,Inbound,Mobile payment,78,91,13,0.0,78.0
240,241,42,601,19,38,,ORD_42,Inbound,Mobile payment,5,93,25,0.0,68.0
241,242,42,601,19,38,,ORD_42,Inbound,Mobile payment,72,46,19,0.0,27.0
242,243,42,601,19,38,,ORD_42,Inbound,Mobile payment,95,73,1,0.0,72.0
243,244,43,127,69,82,,ORD_43,Inbound,Mobile payment,30,52,18,0.0,34.0
244,245,43,127,69,82,,ORD_43,Inbound,Mobile payment,78,91,13,0.0,78.0
245,246,43,127,69,82,,ORD_43,Inbound,Mobile payment,24,66,18,0.0,48.0
246,247,44,143,89,27,,ORD_44,Out for delivery,Debit card,30,52,18,0.0,34.0
247,248,44,143,89,27,,ORD_44,Out for delivery,Debit card,99,36,23,0.0,13.0
248,249,44,143,89,27,,ORD_44,Out for delivery,Debit card,89,40,15,0.0,25.0
249,250,44,143,89,27,,ORD_44,Out for delivery,Debit card,69,21,15,0.0,6.0
250,251,44,143,89,27,,ORD_44,Out for delivery,Debit card,20,96,13,0.0,83.0
251,252,44,143,89,27,,ORD_44,Out for delivery,Debit card,66,68,2,0.0,66.0
252,253,44,143,89,27,,ORD_44,Out for delivery,Debit card,58,79,6,0.0,73.0
253,254,44,143,89,27,,ORD_44,Out for delivery,Debit card,3,35,18,0.0,17.0
254,255,45,633,98,25,,ORD_45,In transit,Cash,7,81,2,0.0,79.0
255,256,45,633,98,25,,ORD_45,In transit,Cash,61,63,4,0.0,59.0
256,257,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,6,73,1,0.0,72.0
257,258,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,39,72,15,0.0,57.0
258,259,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,42,58,29,0.0,29.0
259,260,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,86,100,7,0.0,93.0
260,261,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,7,81,2,0.0,79.0
261,262,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,99,36,23,0.0,13.0
262,263,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,64,82,24,0.0,58.0
263,264,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,7,81,2,0.0,79.0
264,265,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,56,33,16,0.0,17.0
265,266,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,35,63,6,0.0,57.0
266,267,46,105,36,89,,ORD_46,Shipment departed from the facility,Electronic bank transfer,9,95,25,0.0,70.0
267,268,47,168,34,63,,ORD_47,Info received,Debit card,5,93,25,0.0,68.0
268,269,47,168,34,63,,ORD_47,Info received,Debit card,23,78,24,0.0,54.0
269,270,47,168,34,63,,ORD_47,Info received,Debit card,63,94,20,0.0,74.0
270,271,47,168,34,63,,ORD_47,Info received,Debit card,30,52,18,0.0,34.0
271,272,47,168,34,63,,ORD_47,Info received,Debit card,71,30,24,0.0,6.0
272,273,47,168,34,63,,ORD_47,Info received,Debit card,8,58,2,0.0,56.0
273,274,47,168,34,63,,ORD_47,Info received,Debit card,8,58,2,0.0,56.0
274,275,47,168,34,63,,ORD_47,Info received,Debit card,84,63,4,0.0,59.0
275,276,47,168,34,63,,ORD_47,Info received,Debit card,45,32,18,0.0,14.0
276,277,47,168,34,63,,ORD_47,Info received,Debit card,57,98,19,0.0,79.0
277,278,47,168,34,63,,ORD_47,Info received,Debit card,73,39,29,0.0,10.0
278,279,48,335,33,44,,ORD_48,Shipment departed from the facility,Credit card,1,22,27,0.0,-5.0
279,280,48,335,33,44,,ORD_48,Shipment departed from the facility,Credit card,100,39,14,0.0,25.0
280,281,48,335,33,44,,ORD_48,Shipment departed from the facility,Credit card,15,98,30,0.0,68.0
281,282,48,335,33,44,,ORD_48,Shipment departed from the facility,Credit card,63,94,20,0.0,74.0
282,283,48,335,33,44,,ORD_48,Shipment departed from the facility,Credit card,52,79,19,0.0,60.0
283,284,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,82,93,23,0.0,70.0
284,285,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,68,99,6,0.0,93.0
285,286,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,55,47,15,0.0,32.0
286,287,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,94,48,18,0.0,30.0
287,288,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,37,98,24,0.0,74.0
288,289,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,38,92,11,0.0,81.0
289,290,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,14,96,4,0.0,92.0
290,291,49,641,16,76,,ORD_49,Info received,Electronic bank transfer,90,73,23,0.0,50.0
291,292,50,355,94,9,,ORD_50,In transit,Mobile payment,47,64,19,0.0,45.0
292,293,50,355,94,9,,ORD_50,In transit,Mobile payment,56,33,16,0.0,17.0
293,294,50,355,94,9,,ORD_50,In transit,Mobile payment,99,36,23,0.0,13.0
294,295,50,355,94,9,,ORD_50,In transit,Mobile payment,66,68,2,0.0,66.0
295,296,50,355,94,9,,ORD_50,In transit,Mobile payment,17,75,5,0.0,70.0
296,297,50,355,94,9,,ORD_50,In transit,Mobile payment,96,34,14,0.0,20.0
297,298,51,263,83,82,,ORD_51,Delivered,Credit card,87,79,8,0.0,71.0
298,299,51,263,83,82,,ORD_51,Delivered,Credit card,32,64,26,0.0,38.0
299,300,52,668,62,95,9.0,ORD_52,Out for delivery,Cash,1,22,27,4.4,-9.399999999999999
300,301,52,668,62,95,9.0,ORD_52,Out for delivery,Cash,33,62,30,12.4,19.6
301,302,52,668,62,95,9.0,ORD_52,Out for delivery,Cash,42,58,29,11.600000000000001,17.4
302,303,52,668,62,95,9.0,ORD_52,Out for delivery,Cash,99,36,23,7.2,5.800000000000001
